epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,190.378,0.6456,0.64295,1.02805,0.97577,1,0.995,0.90179,0.50995,0.35626,0.93731,0.00024,0.00024,0.00024
78,192.907,0.64899,0.59803,0.97408,0.97891,1,0.995,0.89768,0.46733,0.34606,0.91861,0.00023,0.00023,0.00023
79,195.485,0.641,0.63316,0.98428,0.98368,1,0.995,0.89427,0.46414,0.34653,0.91255,0.00022,0.00022,0.00022
80,198.242,0.59455,0.62175,0.98697,0.98805,1,0.995,0.90898,0.452,0.34295,0.91122,0.00021,0.00021,0.00021
81,200.806,0.58126,0.59493,0.96233,0.98451,1,0.995,0.90649,0.4516,0.33976,0.91371,0.0002,0.0002,0.0002
82,203.295,0.61731,0.57141,0.97819,0.98599,1,0.995,0.91004,0.4766,0.34905,0.93442,0.00019,0.00019,0.00019
83,205.776,0.63853,0.61206,1.01479,0.98616,1,0.995,0.91469,0.4594,0.3315,0.92807,0.00018,0.00018,0.00018
84,208.223,0.59578,0.62107,0.98047,0.98644,1,0.995,0.92746,0.45164,0.32873,0.91461,0.00017,0.00017,0.00017
85,210.751,0.59572,0.59939,0.97494,0.98615,1,0.995,0.91789,0.45594,0.32927,0.91321,0.00016,0.00016,0.00016
86,213.206,0.58957,0.58438,0.96383,0.9869,1,0.995,0.91989,0.45259,0.33082,0.91526,0.00015,0.00015,0.00015
87,215.824,0.56428,0.55391,0.96407,0.9869,1,0.995,0.9264,0.43826,0.32727,0.90477,0.00014,0.00014,0.00014
88,218.414,0.5677,0.56822,0.95083,0.98805,1,0.995,0.91738,0.42807,0.32061,0.89897,0.00013,0.00013,0.00013
89,220.886,0.57885,0.58049,0.95783,0.98913,1,0.995,0.92361,0.4265,0.31391,0.89851,0.00012,0.00012,0.00012
90,243.769,0.4859,0.61923,0.93926,0.989,1,0.995,0.92025,0.42593,0.32115,0.90089,0.00011,0.00011,0.00011
91,246.138,0.4936,0.62409,0.93028,0.98863,1,0.995,0.90573,0.45794,0.33784,0.91766,0.0001,0.0001,0.0001
92,248.539,0.49571,0.66024,0.9234,0.98813,1,0.995,0.89873,0.47612,0.348,0.92494,9e-05,9e-05,9e-05
93,250.934,0.46281,0.64702,0.91073,0.98747,1,0.995,0.90625,0.45176,0.33955,0.91186,8e-05,8e-05,8e-05
94,253.331,0.4909,0.64964,0.91051,0.98643,1,0.995,0.91567,0.4182,0.32041,0.8986,7e-05,7e-05,7e-05
95,255.862,0.49479,0.6277,0.92617,0.98659,1,0.995,0.91908,0.40858,0.31328,0.89387,6e-05,6e-05,6e-05
96,258.31,0.47517,0.59424,0.90867,0.98639,1,0.995,0.91493,0.40722,0.31356,0.89281,5e-05,5e-05,5e-05
97,260.762,0.47019,0.60217,0.90408,0.9867,1,0.995,0.92756,0.40199,0.31094,0.89175,4e-05,4e-05,4e-05
98,263.155,0.45876,0.59119,0.91191,0.98771,1,0.995,0.93051,0.39559,0.30962,0.89005,3e-05,3e-05,3e-05
99,265.539,0.46192,0.58792,0.90266,0.98819,1,0.995,0.92499,0.39403,0.30577,0.88898,2e-05,2e-05,2e-05
